"id","national_number","pokemon","form","mark","shiny"
"no_mark:0001:standard:normal","1","Bulbasaur","","NO_MARK","0"
"no_mark:0001:standard:shiny","1","Bulbasaur","","NO_MARK","1"
"no_mark:0002:standard:normal","2","Ivysaur","","NO_MARK","0"
"no_mark:0002:standard:shiny","2","Ivysaur","","NO_MARK","1"
"no_mark:0003:standard:normal","3","Venusaur","","NO_MARK","0"
"no_mark:0003:standard:shiny","3","Venusaur","","NO_MARK","1"
"no_mark:0004:standard:normal","4","Charmander","","NO_MARK","0"
"no_mark:0004:standard:shiny","4","Charmander","","NO_MARK","1"
"no_mark:0005:standard:normal","5","Charmeleon","","NO_MARK","0"
"no_mark:0005:standard:shiny","5","Charmeleon","","NO_MARK","1"
"no_mark:0006:standard:normal","6","Charizard","","NO_MARK","0"
"no_mark:0006:standard:shiny","6","Charizard","","NO_MARK","1"
"no_mark:0007:standard:normal","7","Squirtle","","NO_MARK","0"
"no_mark:0007:standard:shiny","7","Squirtle","","NO_MARK","1"
"no_mark:0008:standard:normal","8","Wartortle","","NO_MARK","0"
"no_mark:0008:standard:shiny","8","Wartortle","","NO_MARK","1"
"no_mark:0009:standard:normal","9","Blastoise","","NO_MARK","0"
"no_mark:0009:standard:shiny","9","Blastoise","","NO_MARK","1"
"no_mark:0010:standard:normal","10","Caterpie","","NO_MARK","0"
"no_mark:0010:standard:shiny","10","Caterpie","","NO_MARK","1"
"no_mark:0011:standard:normal","11","Metapod","","NO_MARK","0"
"no_mark:0011:standard:shiny","11","Metapod","","NO_MARK","1"
"no_mark:0012:standard:normal","12","Butterfree","","NO_MARK","0"
"no_mark:0012:standard:shiny","12","Butterfree","","NO_MARK","1"
"no_mark:0013:standard:normal","13","Weedle","","NO_MARK","0"
"no_mark:0013:standard:shiny","13","Weedle","","NO_MARK","1"
"no_mark:0014:standard:normal","14","Kakuna","","NO_MARK","0"
"no_mark:0014:standard:shiny","14","Kakuna","","NO_MARK","1"
"no_mark:0015:standard:normal","15","Beedrill","","NO_MARK","0"
"no_mark:0015:standard:shiny","15","Beedrill","","NO_MARK","1"
"no_mark:0016:standard:normal","16","Pidgey","","NO_MARK","0"
"no_mark:0016:standard:shiny","16","Pidgey","","NO_MARK","1"
"no_mark:0017:standard:normal","17","Pidgeotto","","NO_MARK","0"
"no_mark:0017:standard:shiny","17","Pidgeotto","","NO_MARK","1"
"no_mark:0018:standard:normal","18","Pidgeot","","NO_MARK","0"
"no_mark:0018:standard:shiny","18","Pidgeot","","NO_MARK","1"
"no_mark:0019:original:normal","19","Rattata","Original","NO_MARK","0"
"no_mark:0019:original:shiny","19","Rattata","Original","NO_MARK","1"
"no_mark:0020:original:normal","20","Raticate","Original","NO_MARK","0"
"no_mark:0020:original:shiny","20","Raticate","Original","NO_MARK","1"
"no_mark:0021:standard:normal","21","Spearow","","NO_MARK","0"
"no_mark:0021:standard:shiny","21","Spearow","","NO_MARK","1"
"no_mark:0022:standard:normal","22","Fearow","","NO_MARK","0"
"no_mark:0022:standard:shiny","22","Fearow","","NO_MARK","1"
"no_mark:0023:standard:normal","23","Ekans","","NO_MARK","0"
"no_mark:0023:standard:shiny","23","Ekans","","NO_MARK","1"
"no_mark:0024:standard:normal","24","Arbok","","NO_MARK","0"
"no_mark:0024:standard:shiny","24","Arbok","","NO_MARK","1"
"no_mark:0025:standard:normal","25","Pikachu","","NO_MARK","0"
"no_mark:0025:standard:shiny","25","Pikachu","","NO_MARK","1"
"no_mark:0026:alolan:normal","26","Raichu","Alolan","NO_MARK","0"
"no_mark:0026:alolan:shiny","26","Raichu","Alolan","NO_MARK","1"
"no_mark:0026:original:normal","26","Raichu","Original","NO_MARK","0"
"no_mark:0026:original:shiny","26","Raichu","Original","NO_MARK","1"
"no_mark:0027:original:normal","27","Sandshrew","Original","NO_MARK","0"
"no_mark:0027:original:shiny","27","Sandshrew","Original","NO_MARK","1"
"no_mark:0028:original:normal","28","Sandslash","Original","NO_MARK","0"
"no_mark:0028:original:shiny","28","Sandslash","Original","NO_MARK","1"
"no_mark:0029:standard:normal","29","Nidoran♀","","NO_MARK","0"
"no_mark:0029:standard:shiny","29","Nidoran♀","","NO_MARK","1"
"no_mark:0030:standard:normal","30","Nidorina","","NO_MARK","0"
"no_mark:0030:standard:shiny","30","Nidorina","","NO_MARK","1"
"no_mark:0031:standard:normal","31","Nidoqueen","","NO_MARK","0"
"no_mark:0031:standard:shiny","31","Nidoqueen","","NO_MARK","1"
"no_mark:0032:standard:normal","32","Nidoran♂","","NO_MARK","0"
"no_mark:0032:standard:shiny","32","Nidoran♂","","NO_MARK","1"
"no_mark:0033:standard:normal","33","Nidorino","","NO_MARK","0"
"no_mark:0033:standard:shiny","33","Nidorino","","NO_MARK","1"
"no_mark:0034:standard:normal","34","Nidoking","","NO_MARK","0"
"no_mark:0034:standard:shiny","34","Nidoking","","NO_MARK","1"
"no_mark:0035:standard:normal","35","Clefairy","","NO_MARK","0"
"no_mark:0035:standard:shiny","35","Clefairy","","NO_MARK","1"
"no_mark:0036:standard:normal","36","Clefable","","NO_MARK","0"
"no_mark:0036:standard:shiny","36","Clefable","","NO_MARK","1"
"no_mark:0037:original:normal","37","Vulpix","Original","NO_MARK","0"
"no_mark:0037:original:shiny","37","Vulpix","Original","NO_MARK","1"
"no_mark:0038:original:normal","38","Ninetales","Original","NO_MARK","0"
"no_mark:0038:original:shiny","38","Ninetales","Original","NO_MARK","1"
"no_mark:0039:standard:normal","39","Jigglypuff","","NO_MARK","0"
"no_mark:0039:standard:shiny","39","Jigglypuff","","NO_MARK","1"
"no_mark:0040:standard:normal","40","Wigglytuff","","NO_MARK","0"
"no_mark:0040:standard:shiny","40","Wigglytuff","","NO_MARK","1"
"no_mark:0041:standard:normal","41","Zubat","","NO_MARK","0"
"no_mark:0041:standard:shiny","41","Zubat","","NO_MARK","1"
"no_mark:0042:standard:normal","42","Golbat","","NO_MARK","0"
"no_mark:0042:standard:shiny","42","Golbat","","NO_MARK","1"
"no_mark:0043:standard:normal","43","Oddish","","NO_MARK","0"
"no_mark:0043:standard:shiny","43","Oddish","","NO_MARK","1"
"no_mark:0044:standard:normal","44","Gloom","","NO_MARK","0"
"no_mark:0044:standard:shiny","44","Gloom","","NO_MARK","1"
"no_mark:0045:standard:normal","45","Vileplume","","NO_MARK","0"
"no_mark:0045:standard:shiny","45","Vileplume","","NO_MARK","1"
"no_mark:0046:standard:normal","46","Paras","","NO_MARK","0"
"no_mark:0046:standard:shiny","46","Paras","","NO_MARK","1"
"no_mark:0047:standard:normal","47","Parasect","","NO_MARK","0"
"no_mark:0047:standard:shiny","47","Parasect","","NO_MARK","1"
"no_mark:0048:standard:normal","48","Venonat","","NO_MARK","0"
"no_mark:0048:standard:shiny","48","Venonat","","NO_MARK","1"
"no_mark:0049:standard:normal","49","Venomoth","","NO_MARK","0"
"no_mark:0049:standard:shiny","49","Venomoth","","NO_MARK","1"
"no_mark:0050:original:normal","50","Diglett","Original","NO_MARK","0"
"no_mark:0050:original:shiny","50","Diglett","Original","NO_MARK","1"
"no_mark:0051:original:normal","51","Dugtrio","Original","NO_MARK","0"
"no_mark:0051:original:shiny","51","Dugtrio","Original","NO_MARK","1"
"no_mark:0052:original:normal","52","Meowth","Original","NO_MARK","0"
"no_mark:0052:original:shiny","52","Meowth","Original","NO_MARK","1"
"no_mark:0053:original:normal","53","Persian","Original","NO_MARK","0"
"no_mark:0053:original:shiny","53","Persian","Original","NO_MARK","1"
"no_mark:0054:standard:normal","54","Psyduck","","NO_MARK","0"
"no_mark:0054:standard:shiny","54","Psyduck","","NO_MARK","1"
"no_mark:0055:standard:normal","55","Golduck","","NO_MARK","0"
"no_mark:0055:standard:shiny","55","Golduck","","NO_MARK","1"
"no_mark:0056:standard:normal","56","Mankey","","NO_MARK","0"
"no_mark:0056:standard:shiny","56","Mankey","","NO_MARK","1"
"no_mark:0057:standard:normal","57","Primeape","","NO_MARK","0"
"no_mark:0057:standard:shiny","57","Primeape","","NO_MARK","1"
"no_mark:0058:original:normal","58","Growlithe","Original","NO_MARK","0"
"no_mark:0058:original:shiny","58","Growlithe","Original","NO_MARK","1"
"no_mark:0059:original:normal","59","Arcanine","Original","NO_MARK","0"
"no_mark:0059:original:shiny","59","Arcanine","Original","NO_MARK","1"
"no_mark:0060:standard:normal","60","Poliwag","","NO_MARK","0"
"no_mark:0060:standard:shiny","60","Poliwag","","NO_MARK","1"
"no_mark:0061:standard:normal","61","Poliwhirl","","NO_MARK","0"
"no_mark:0061:standard:shiny","61","Poliwhirl","","NO_MARK","1"
"no_mark:0062:standard:normal","62","Poliwrath","","NO_MARK","0"
"no_mark:0062:standard:shiny","62","Poliwrath","","NO_MARK","1"
"no_mark:0063:standard:normal","63","Abra","","NO_MARK","0"
"no_mark:0063:standard:shiny","63","Abra","","NO_MARK","1"
"no_mark:0064:standard:normal","64","Kadabra","","NO_MARK","0"
"no_mark:0064:standard:shiny","64","Kadabra","","NO_MARK","1"
"no_mark:0065:standard:normal","65","Alakazam","","NO_MARK","0"
"no_mark:0065:standard:shiny","65","Alakazam","","NO_MARK","1"
"no_mark:0066:standard:normal","66","Machop","","NO_MARK","0"
"no_mark:0066:standard:shiny","66","Machop","","NO_MARK","1"
"no_mark:0067:standard:normal","67","Machoke","","NO_MARK","0"
"no_mark:0067:standard:shiny","67","Machoke","","NO_MARK","1"
"no_mark:0068:standard:normal","68","Machamp","","NO_MARK","0"
"no_mark:0068:standard:shiny","68","Machamp","","NO_MARK","1"
"no_mark:0069:standard:normal","69","Bellsprout","","NO_MARK","0"
"no_mark:0069:standard:shiny","69","Bellsprout","","NO_MARK","1"
"no_mark:0070:standard:normal","70","Weepinbell","","NO_MARK","0"
"no_mark:0070:standard:shiny","70","Weepinbell","","NO_MARK","1"
"no_mark:0071:standard:normal","71","Victreebel","","NO_MARK","0"
"no_mark:0071:standard:shiny","71","Victreebel","","NO_MARK","1"
"no_mark:0072:standard:normal","72","Tentacool","","NO_MARK","0"
"no_mark:0072:standard:shiny","72","Tentacool","","NO_MARK","1"
"no_mark:0073:standard:normal","73","Tentacruel","","NO_MARK","0"
"no_mark:0073:standard:shiny","73","Tentacruel","","NO_MARK","1"
"no_mark:0074:original:normal","74","Geodude","Original","NO_MARK","0"
"no_mark:0074:original:shiny","74","Geodude","Original","NO_MARK","1"
"no_mark:0075:original:normal","75","Graveler","Original","NO_MARK","0"
"no_mark:0075:original:shiny","75","Graveler","Original","NO_MARK","1"
"no_mark:0076:original:normal","76","Golem","Original","NO_MARK","0"
"no_mark:0076:original:shiny","76","Golem","Original","NO_MARK","1"
"no_mark:0077:original:normal","77","Ponyta","Original","NO_MARK","0"
"no_mark:0077:original:shiny","77","Ponyta","Original","NO_MARK","1"
"no_mark:0078:original:normal","78","Rapidash","Original","NO_MARK","0"
"no_mark:0078:original:shiny","78","Rapidash","Original","NO_MARK","1"
"no_mark:0079:original:normal","79","Slowpoke","Original","NO_MARK","0"
"no_mark:0079:original:shiny","79","Slowpoke","Original","NO_MARK","1"
"no_mark:0080:original:normal","80","Slowbro","Original","NO_MARK","0"
"no_mark:0080:original:shiny","80","Slowbro","Original","NO_MARK","1"
"no_mark:0081:standard:normal","81","Magnemite","","NO_MARK","0"
"no_mark:0081:standard:shiny","81","Magnemite","","NO_MARK","1"
"no_mark:0082:standard:normal","82","Magneton","","NO_MARK","0"
"no_mark:0082:standard:shiny","82","Magneton","","NO_MARK","1"
"no_mark:0083:original:normal","83","Farfetch'd","Original","NO_MARK","0"
"no_mark:0083:original:shiny","83","Farfetch'd","Original","NO_MARK","1"
"no_mark:0084:standard:normal","84","Doduo","","NO_MARK","0"
"no_mark:0084:standard:shiny","84","Doduo","","NO_MARK","1"
"no_mark:0085:standard:normal","85","Dodrio","","NO_MARK","0"
"no_mark:0085:standard:shiny","85","Dodrio","","NO_MARK","1"
"no_mark:0086:standard:normal","86","Seel","","NO_MARK","0"
"no_mark:0086:standard:shiny","86","Seel","","NO_MARK","1"
"no_mark:0087:standard:normal","87","Dewgong","","NO_MARK","0"
"no_mark:0087:standard:shiny","87","Dewgong","","NO_MARK","1"
"no_mark:0088:original:normal","88","Grimer","Original","NO_MARK","0"
"no_mark:0088:original:shiny","88","Grimer","Original","NO_MARK","1"
"no_mark:0089:original:normal","89","Muk","Original","NO_MARK","0"
"no_mark:0089:original:shiny","89","Muk","Original","NO_MARK","1"
